date,year,month,day,weekday,weekday_cn
2006-03-08,2006,3,8,Wednesday,周三
2006-03-09,2006,3,9,Thursday,周四
2006-03-10,2006,3,10,Friday,周五
2006-03-13,2006,3,13,Monday,周一
2006-03-14,2006,3,14,Tuesday,周二
2006-03-15,2006,3,15,Wednesday,周三
2006-03-16,2006,3,16,Thursday,周四
2006-03-17,2006,3,17,Friday,周五
2006-03-20,2006,3,20,Monday,周一
2006-03-21,2006,3,21,Tuesday,周二
2006-03-22,2006,3,22,Wednesday,周三
2006-03-23,2006,3,23,Thursday,周四
2006-03-24,2006,3,24,Friday,周五
2006-03-27,2006,3,27,Monday,周一
2006-03-28,2006,3,28,Tuesday,周二
2006-03-29,2006,3,29,Wednesday,周三
2006-03-30,2006,3,30,Thursday,周四
2006-03-31,2006,3,31,Friday,周五
2006-04-03,2006,4,3,Monday,周一
2006-04-04,2006,4,4,Tuesday,周二
2006-04-05,2006,4,5,Wednesday,周三
2006-04-06,2006,4,6,Thursday,周四
2006-04-07,2006,4,7,Friday,周五
2006-04-10,2006,4,10,Monday,周一
2006-04-11,2006,4,11,Tuesday,周二
2006-04-12,2006,4,12,Wednesday,周三
2006-04-13,2006,4,13,Thursday,周四
2006-04-14,2006,4,14,Friday,周五
2006-04-17,2006,4,17,Monday,周一
2006-04-18,2006,4,18,Tuesday,周二
2006-04-19,2006,4,19,Wednesday,周三
2006-04-20,2006,4,20,Thursday,周四
2006-04-21,2006,4,21,Friday,周五
2006-04-24,2006,4,24,Monday,周一
2006-04-25,2006,4,25,Tuesday,周二
2006-04-26,2006,4,26,Wednesday,周三
2006-04-27,2006,4,27,Thursday,周四
2006-04-28,2006,4,28,Friday,周五
2006-04-29,2006,4,29,Saturday,周六
2006-04-30,2006,4,30,Sunday,周日
2006-05-08,2006,5,8,Monday,周一
2006-05-09,2006,5,9,Tuesday,周二
2006-05-10,2006,5,10,Wednesday,周三
2006-05-11,2006,5,11,Thursday,周四
2006-05-12,2006,5,12,Friday,周五
2006-05-15,2006,5,15,Monday,周一
2006-05-16,2006,5,16,Tuesday,周二
2006-05-17,2006,5,17,Wednesday,周三
2006-05-18,2006,5,18,Thursday,周四
2006-05-19,2006,5,19,Friday,周五
2006-05-22,2006,5,22,Monday,周一
2006-05-23,2006,5,23,Tuesday,周二
2006-05-24,2006,5,24,Wednesday,周三
2006-05-25,2006,5,25,Thursday,周四
2006-05-26,2006,5,26,Friday,周五
2006-05-29,2006,5,29,Monday,周一
2006-05-30,2006,5,30,Tuesday,周二
2006-05-31,2006,5,31,Wednesday,周三
2006-06-01,2006,6,1,Thursday,周四
2006-06-02,2006,6,2,Friday,周五
2006-06-05,2006,6,5,Monday,周一
2006-06-06,2006,6,6,Tuesday,周二
2006-06-07,2006,6,7,Wednesday,周三
2006-06-08,2006,6,8,Thursday,周四
2006-06-09,2006,6,9,Friday,周五
2006-06-12,2006,6,12,Monday,周一
2006-06-13,2006,6,13,Tuesday,周二
2006-06-14,2006,6,14,Wednesday,周三
2006-06-15,2006,6,15,Thursday,周四
2006-06-16,2006,6,16,Friday,周五
2006-06-19,2006,6,19,Monday,周一
2006-06-20,2006,6,20,Tuesday,周二
2006-06-21,2006,6,21,Wednesday,周三
2006-06-22,2006,6,22,Thursday,周四
2006-06-23,2006,6,23,Friday,周五
2006-06-26,2006,6,26,Monday,周一
2006-06-27,2006,6,27,Tuesday,周二
2006-06-28,2006,6,28,Wednesday,周三
2006-06-29,2006,6,29,Thursday,周四
2006-06-30,2006,6,30,Friday,周五
2006-07-03,2006,7,3,Monday,周一
2006-07-04,2006,7,4,Tuesday,周二
2006-07-05,2006,7,5,Wednesday,周三
2006-07-06,2006,7,6,Thursday,周四
2006-07-07,2006,7,7,Friday,周五
2006-07-10,2006,7,10,Monday,周一
2006-07-11,2006,7,11,Tuesday,周二
2006-07-12,2006,7,12,Wednesday,周三
2006-07-13,2006,7,13,Thursday,周四
2006-07-14,2006,7,14,Friday,周五
2006-07-17,2006,7,17,Monday,周一
2006-07-18,2006,7,18,Tuesday,周二
2006-07-19,2006,7,19,Wednesday,周三
2006-07-20,2006,7,20,Thursday,周四
2006-07-21,2006,7,21,Friday,周五
2006-07-24,2006,7,24,Monday,周一
2006-07-25,2006,7,25,Tuesday,周二
2006-07-26,2006,7,26,Wednesday,周三
2006-07-27,2006,7,27,Thursday,周四
2006-07-28,2006,7,28,Friday,周五
2006-07-31,2006,7,31,Monday,周一
2006-08-01,2006,8,1,Tuesday,周二
2006-08-02,2006,8,2,Wednesday,周三
2006-08-03,2006,8,3,Thursday,周四
2006-08-04,2006,8,4,Friday,周五
2006-08-07,2006,8,7,Monday,周一
2006-08-08,2006,8,8,Tuesday,周二
2006-08-09,2006,8,9,Wednesday,周三
2006-08-10,2006,8,10,Thursday,周四
2006-08-11,2006,8,11,Friday,周五
2006-08-14,2006,8,14,Monday,周一
2006-08-15,2006,8,15,Tuesday,周二
2006-08-16,2006,8,16,Wednesday,周三
2006-08-17,2006,8,17,Thursday,周四
2006-08-18,2006,8,18,Friday,周五
2006-08-21,2006,8,21,Monday,周一
2006-08-22,2006,8,22,Tuesday,周二
2006-08-23,2006,8,23,Wednesday,周三
2006-08-24,2006,8,24,Thursday,周四
2006-08-25,2006,8,25,Friday,周五
2006-08-28,2006,8,28,Monday,周一
2006-08-29,2006,8,29,Tuesday,周二
2006-08-30,2006,8,30,Wednesday,周三
2006-08-31,2006,8,31,Thursday,周四
2006-09-01,2006,9,1,Friday,周五
2006-09-04,2006,9,4,Monday,周一
2006-09-05,2006,9,5,Tuesday,周二
2006-09-06,2006,9,6,Wednesday,周三
2006-09-07,2006,9,7,Thursday,周四
2006-09-08,2006,9,8,Friday,周五
2006-09-11,2006,9,11,Monday,周一
2006-09-12,2006,9,12,Tuesday,周二
2006-09-13,2006,9,13,Wednesday,周三
2006-09-14,2006,9,14,Thursday,周四
2006-09-15,2006,9,15,Friday,周五
2006-09-18,2006,9,18,Monday,周一
2006-09-19,2006,9,19,Tuesday,周二
2006-09-20,2006,9,20,Wednesday,周三
2006-09-21,2006,9,21,Thursday,周四
2006-09-22,2006,9,22,Friday,周五
2006-09-25,2006,9,25,Monday,周一
2006-09-26,2006,9,26,Tuesday,周二
2006-09-27,2006,9,27,Wednesday,周三
2006-09-28,2006,9,28,Thursday,周四
2006-09-29,2006,9,29,Friday,周五
2006-09-30,2006,9,30,Saturday,周六
2006-10-08,2006,10,8,Sunday,周日
2006-10-09,2006,10,9,Monday,周一
2006-10-10,2006,10,10,Tuesday,周二
2006-10-11,2006,10,11,Wednesday,周三
2006-10-12,2006,10,12,Thursday,周四
2006-10-13,2006,10,13,Friday,周五
